Zielverzeichnis,Datum,Commit-Hash,Author 
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07142022,4ffea4292076c73ca19cecc86ba165ed60e7ede9,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07142022,21f748f9ea628a1dcc5508fff93b34014b88aa10,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07142022,ed5acedbffbc1cc1aa8a8a1a703972d56ffb4b90,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07142022,398b861ff948d644eb9214f672724b40c662ed60,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07122022,bcbf9c8b4cc446cadda356d23be044854649d373,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07122022,06ba7cdc72c7ed64204c508613319bea4b61490a,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07112022,9894e40a84929ab7f6aab82b25a294fc296645cb,LucaHofstetter
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07062022,59273100e68cc8461cd656cabb9902c1862ea751,LucaHofstetter
m122_projektarbeit_Oberkalmsteiner_Hofstetter,07042022,ba59e0aa3d1b75a9f06ce7d0cd64698edd2f42d2,LucaHofstetter
m122_projektarbeit_Oberkalmsteiner_Hofstetter,06302022,6d1b19b91d96a373ae364872cd8610344d05e1b8,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,06302022,c8fe67696acae4ddbdf454fbfcbce82c8dcfe73c,LucaHofstetter
m122_projektarbeit_Oberkalmsteiner_Hofstetter,06302022,b9a67941bfc6eb3281b3c4d07c416188062f598b,phoenixOfEther
m122_projektarbeit_Oberkalmsteiner_Hofstetter,06302022,bc599f72675fe7cf2839d2a9ae766451b5aefbc4,phoenixOfEther
